ave_spindle,std_spindle,max_spindle,min_spindle,median_spindle,rmse_spindle,pp_spindle,hdiff_spindle,fdiff_spindle,ave_x,std_x,max_x,min_x,median_x,rmse_x,pp_x,hdiff_x,fdiff_x,ave_y,std_y,max_y,min_y,median_y,rmse_y,pp_y,hdiff_y,fdiff_y,ave_z,std_z,max_z,min_z,median_z,rmse_z,pp_z,hdiff_z,fdiff_z
14.14359,4.64021,27.72607,3.72631,13.95611,14.88531,23.99976,10.71871,5.19425,-730.36548,75.37865,-586.3739,-902.6549,-729.2275,734.24497,316.281,197.30818,122.8962,130.78829,130.01914,341.4194,-153.7515,123.352,184.4195,316.281,341.312,223.1083,-455.83465,0.40737,-453.007,-455.92,-455.92,455.83483,2.913,0,0
14.66042,4.52164,27.67418,3.86059,14.597,15.34188,23.81359,10.58077,5.98468,-742.16828,93.11021,-557.4845,-936.4428,-735.7032,747.98614,378.9583,248.8234,121.3184,133.01176,137.36156,372.2416,-153.7542,154.2615,191.20755,378.9583,364.325,228.6238,-459.89285,0.44077,-457.207,-460.12,-460.12,459.89306,2.913,0.6,0.6
15.12472,3.59971,25.50432,5.23698,14.80453,15.54719,20.26734,9.34172,5.32395,-742.03009,128.95018,-557.4359,-936.3817,-754.3133,753.15125,378.9458,337.193,248.3796,102.47971,166.95657,372.4537,-153.754,71.34,195.89943,378.9458,451.809,300.3339,-467.32,0,-467.32,-467.32,-467.32,467.32,0,0,0
14.96104,3.74847,26.05976,4.62355,14.48714,15.42348,21.4362,9.30509,4.09864,-763.23792,113.65784,-571.5909,-936.4085,-796.0676,771.65422,364.8176,295.1363,206.449,101.55661,160.41928,358.3647,-153.8183,73.8647,189.86335,364.8176,430.9002,301.99,-469.12,0,-469.12,-469.12,-469.12,469.12,0,0,0
15.18115,3.92855,27.52464,4.43739,14.90524,15.68123,23.08725,8.73135,4.41908,-744.68805,96.15477,-571.5909,-917.4389,-764.4017,750.87018,345.848,247.74529,171.3391,146.02015,143.70513,358.265,-124.8794,172.691,204.87325,345.848,376.093,261.3467,-470.92,0,-470.92,-470.92,-470.92,470.92,0,0,0
14.79141,4.19837,28.27845,3.93078,14.9144,15.3757,24.34767,9.30814,4.66323,-743.63292,75.59831,-600.4481,-907.4218,-747.7144,747.46574,306.9737,208.66418,119.9424,111.17007,124.84609,323.9249,-124.8755,113.9013,167.16857,306.9737,338.9559,208.34482,-472.66678,0.32205,-469.807,-472.72,-472.72,472.66689,2.913,0,0
15.60572,4.90159,27.86645,3.91247,15.52782,16.35738,23.95398,11.63366,6.53859,-744.04318,92.93629,-557.4433,-936.4124,-736.9667,749.82492,378.9691,244.112,123.6958,128.90465,132.4557,371.7744,-153.8292,149.9855,184.82673,378.9691,342.1455,214.3279,-474.31073,0.42074,-471.607,-474.52,-474.52,474.31092,2.913,0.6,0.6
15.11522,4.81595,28.29371,3.92773,14.94491,15.86389,24.36598,11.02817,6.99484,-734.29213,106.45895,-557.4178,-936.4433,-734.0589,741.9693,379.0255,318.19286,131.851,140.75222,137.17415,372.4537,-153.7542,136.754,196.53991,379.0255,378.52384,214.1186,-475.95534,0.4442,-473.407,-476.32,-475.72,475.95555,2.913,0.6,0.6
14.95734,4.8259,28.0221,3.71105,14.48408,15.71659,24.31104,11.64891,6.55538,-734.03123,119.64982,-557.4273,-936.3724,-724.2143,743.71899,378.9451,332.2706,237.9307,105.59125,154.61585,372.4537,-153.7543,111.4494,187.23134,378.9451,441.4631,262.1757,-477.60724,0.39367,-475.207,-478.12,-477.52,477.6074,2.913,0.6,0
15.29823,4.04381,27.10654,4.19935,14.99985,15.82366,22.90719,9.97711,5.78326,-747.94776,130.09798,-557.417,-936.4562,-760.7438,759.17807,379.0392,339.2141,256.9255,128.32986,168.05909,372.4537,-153.7541,143.4926,211.45309,379.0392,439.65226,322.0001,-479.31104,0.14369,-477.007,-479.32,-479.32,479.31106,2.313,0,0
15.34274,4.8186,28.38832,3.77209,15.5858,16.08162,24.61623,11.33763,6.54927,-743.89674,93.38935,-557.4188,-936.3415,-736.7736,749.73591,378.9227,237.9878,124.6081,126.23309,132.09781,354.6186,-153.7543,149.8153,182.7146,378.9227,356.7431,217.7791,-481.50774,0.44313,-478.807,-481.72,-481.72,481.50795,2.913,0.6,0.6
15.58537,4.8077,28.91629,3.93994,15.47288,16.31005,24.97635,11.15757,7.38853,-736.57653,105.87461,-557.3766,-936.4494,-736.59165,744.14677,379.0728,312.5587,133.8096,141.09726,138.54518,372.4537,-153.754,137.043,197.7453,379.0728,377.6546,216.5388,-483.15811,0.44827,-480.607,-483.52,-482.92,483.15832,2.913,0.6,0.6
15.10162,4.67767,28.86135,3.8789,14.64278,15.80948,24.98245,11.13407,6.64235,-731.94247,118.97167,-557.4236,-936.455,-722.1556,741.54841,379.0314,338.9369,231.4876,108.36486,156.02005,372.4537,-153.7542,121.57735,189.96105,379.0314,441.3883,258.891,-484.81456,0.39627,-482.407,-485.32,-484.72,484.81472,2.913,0.6,0
15.44075,4.10021,26.99057,3.98266,15.11582,15.97587,23.0079,10.05768,5.24308,-748.17778,130.08418,-557.397,-936.4339,-766.3243,759.40232,379.0369,338.8522,256.7892,129.57315,168.48584,372.4537,-153.8002,144.5604,212.54807,379.0369,442.3162,332.6499,-486.48467,0.28366,-484.207,-486.52,-486.52,486.48475,2.313,0,0
15.3112,3.83571,27.07602,4.67849,15.17685,15.78435,22.39753,8.72829,4.95773,-734.42406,114.8914,-557.3983,-922.1108,-750.6507,743.3564,364.7125,299.9263,218.303,133.46711,162.33166,372.4537,-139.6595,134.5237,210.15479,364.7125,433.09025,315.7295,-488.32,0,-488.32,-488.32,-488.32,488.32,0,0,0
15.34187,3.62189,29.40153,5.13932,15.35386,15.7636,24.26221,7.94702,4.0376,-751.28055,97.65418,-572.2238,-922.2749,-777.8083,757.60069,350.0511,264.1267,169.89675,105.04726,146.4481,340.9143,-139.6616,91.4213,180.22756,350.0511,390.545,277.2823,-490.12,0,-490.12,-490.12,-490.12,490.12,0,0,0
15.80485,4.30289,29.53276,3.9552,15.75976,16.38011,25.57756,9.8178,5.05386,-737.86407,78.66923,-586.3739,-907.3813,-734.4368,742.04598,321.0074,213.8002,121.5733,137.33869,123.83554,341.0356,-111.4471,126.6488,184.92474,321.0074,325.2368,218.0307,-491.90591,0.07557,-491.2275,-491.92,-491.92,491.90592,0.6925,0,0
14.25509,4.51524,26.3741,3.94299,14.24604,14.95309,22.4311,10.55635,5.70086,-719.76229,83.67904,-557.4192,-931.6554,-727.2489,724.61019,374.2362,220.8886,122.6605,121.6895,138.90305,372.4537,-153.7542,139.208,184.66833,374.2362,373.7703,222.9932,-493.30565,0.41082,-490.647,-493.48,-493.48,493.30582,2.833,0.52,0.3803
12.51852,5.97586,29.89288,3.73852,12.84524,13.87171,26.15436,15.65569,10.68148,-526.24143,257.20828,-225.9248,-936.4562,-557.4062,585.73556,710.5314,647.0246,513.4811,88.61628,131.02969,372.4537,-153.7541,76.8026,158.18225,710.5314,328.8635,162.2851,-453.01978,40.26106,-409.207,-494.52,-415.12,454.80532,85.313,82.1684,79.4
17.43596,3.84621,28.71181,5.01419,17.71294,17.85514,23.69762,8.63674,4.53352,-248.3061,100.76829,-81.6301,-438.7199,-223.9538,267.97419,357.0898,265.4369,183.8414,118.08321,139.77991,359.1363,-121.2773,110.85295,182.98106,357.0898,371.63165,260.5297,-416.32,0,-416.32,-416.32,-416.32,416.32,0,0,0
8.39235,6.82131,37.9986,0.0061,4.21766,10.81489,37.99249,14.75143,8.46583,-242.62371,77.19127,-63.7864,-325.1967,-276.8769,254.60707,261.4103,227.1813,26.6616,84.86246,86.3959,247.7178,-180.0755,94.6607,121.1028,261.4103,150.8227,3.9214,-288.76838,139.93958,-129.2389,-417.52,-414.607,320.8898,288.2811,288.2811,288.2811
15.5541,5.45257,29.8349,3.68969,15.03647,16.48213,26.14521,14.40168,7.15964,-261.71931,128.1783,-66.8714,-466.8909,-276.7356,291.42182,400.0195,360.9385,254.6572,118.0687,151.49087,376.0407,-149.9451,114.365,192.06692,400.0195,439.1229,211.9621,-422.98349,0.47114,-420.607,-423.52,-422.92,422.98375,2.913,0.6,0.0565
18.07208,4.56105,32.10852,4.88296,18.43013,18.63876,27.22556,10.44038,5.04166,-266.6537,89.89203,-95.6971,-438.6699,-259.3602,281.39789,342.9728,232.8641,152.3668,129.41473,131.79824,342.0444,-112.2699,143.4873,184.71315,342.9728,353.8934,240.3541,-424.72,0,-424.72,-424.72,-424.72,424.72,0,0,0
16.1026,5.73462,30.13092,3.71715,15.64379,17.09326,26.41377,14.42915,7.71203,-257.43832,131.22973,-66.8773,-466.8909,-269.3672,288.95628,400.0136,364.0141,269.3707,113.52834,160.1459,376.0407,-149.9451,108.0131,196.30434,400.0136,462.3553,257.5153,-425.93219,0.46449,-423.607,-426.52,-425.92,425.93244,2.913,0.5865,0
18.55168,4.55615,30.05158,5.14847,19.39756,19.10297,24.9031,10.45747,5.30412,-262.16385,91.7814,-95.7704,-438.6699,-248.042,277.76556,342.8995,238.8543,152.4023,122.85543,138.22503,339.4735,-121.2814,142.9623,184.93138,342.8995,368.323,250.7686,-427.12,0,-427.12,-427.12,-427.12,427.12,0,0,0
16.33891,5.89205,29.88067,3.79955,15.61022,17.36883,26.08112,15.28062,8.38344,-256.87753,130.82544,-67.1033,-466.8909,-264.0599,288.27307,399.7876,360.8199,272.933,121.64462,156.68567,376.0407,-149.9135,127.2458,198.36283,399.7876,457.2167,231.6707,-428.34927,0.45383,-426.007,-428.92,-428.32,428.34951,2.913,0.6,0
18.57811,4.20024,32.62429,4.74868,18.92148,19.047,27.87561,9.67071,4.79751,-261.28819,87.90435,-95.9063,-438.6699,-250.1359,275.67861,342.7636,227.5758,150.0438,136.05551,126.59348,342.5194,-105.5112,136.3415,185.84136,342.7636,335.7945,227.44935,-430.12,0,-430.12,-430.12,-430.12,430.12,0,0,0
17.21718,6.12183,33.21024,3.68053,16.45863,18.27316,29.52971,15.59191,8.15226,-265.60153,134.28417,-66.897,-466.8909,-276.6332,297.61789,399.9939,359.6758,279.2227,104.30125,159.06668,376.0407,-149.8404,104.081,190.21293,399.9939,467.6097,248.9732,-431.32272,0.40877,-429.007,-431.92,-431.32,431.32291,2.913,0.3626,0
1.02139,4.20151,26.63045,0.0061,0.0061,4.32387,26.62435,0,0,-40.31767,89.71052,-1.1088,-276.8769,-1.1088,98.35391,275.7681,275.7681,0,-136.6764,119.84012,124.5247,-201.1264,-201.1264,181.77484,275.7681,295.7681,0,-131.13535,113.14314,-86.207,-432.52,-86.207,173.19887,346.313,344,0
